"","Hashtag","Year","Month","hash_count"
"1","#wuhan",2020,1,593929
"2","#china",2020,1,527771
"3","#coronavirusoutbreak",2020,1,263874
"4","#wuhancoronavirus",2020,1,243157
"5","#breaking",2020,1,136539
"6","#coronaoutbreak",2020,1,110367
"7","#coronavir",2020,1,106872
"8","#coronarvirus",2020,1,79920
"9","#hongkong",2020,1,73790
"10","#ncov",2020,1,59913
"11","#china",2020,2,1223950
"12","#wuhan",2020,2,706476
"13","#coronavirusoutbreak",2020,2,382939
"14","#wuhancoronavirus",2020,2,181512
"15","#covid2019",2020,2,128436
"16","#hongkong",2020,2,116237
"17","#nomeatnocoronavirus",2020,2,100822
"18","#iran",2020,2,90649
"19","#breaking",2020,2,74886
"20","#coronaviruschina",2020,2,64367
"21","#covid2019",2020,3,330733
"22","#china",2020,3,281294
"23","#coronavirusoutbreak",2020,3,194702
"24","#stayhome",2020,3,168939
"25","#stayathome",2020,3,168205
"26","#coronavirusupdate",2020,3,151603
"27","#coronaviruspandemic",2020,3,128625
"28","#iran",2020,3,120023
"29","#breaking",2020,3,112107
"30","#coronaoutbreak",2020,3,101535
"31","#stayhome",2020,4,1051870
"32","#lockdown",2020,4,489804
"33","#china",2020,4,443971
"34","#stayathome",2020,4,272965
"35","#covid2019",2020,4,216448
"36","#togetherathome",2020,4,210900
"37","#socialdistancing",2020,4,154590
"38","#covid19mx",2020,4,125200
"39","#breaking",2020,4,118613
"40","#trump",2020,4,112600
"41","#stayhome",2020,5,834163
"42","#lockdown",2020,5,654347
"43","#dirumahaja",2020,5,194460
"44","#rgpvspreadingcoronavirus",2020,5,185990
"45","#stayathome",2020,5,170430
"46","#covid19mx",2020,5,164572
"47","#china",2020,5,156127
"48","#breaking",2020,5,129988
"49","#pandemic",2020,5,122018
"50","#trump",2020,5,110527
"51","#stayhome",2020,6,700288
"52","#lockdown",2020,6,551347
"53","#blacklivesmatter",2020,6,304858
"54","#breaking",2020,6,219420
"55","#pandemic",2020,6,185244
"56","#postponeneetandjee",2020,6,178375
"57","#china",2020,6,175393
"58","#socialdistancing",2020,6,144060
"59","#wearamask",2020,6,132316
"60","#cuba",2020,6,123753
"61","#wearamask",2020,7,476436
"62","#lockdown",2020,7,332551
"63","#trumpvirus",2020,7,315848
"64","#hydroxychloroquine",2020,7,259498
"65","#stayhome",2020,7,239532
"66","#breaking",2020,7,234323
"67","#pandemic",2020,7,215859
"68","#safehands",2020,7,139426
"69","#trump",2020,7,131207
"70","#indiafightscorona",2020,7,123897
"71","#modijipostponejeeneet",2020,8,791317
"72","#swamyjihelpjeeneet",2020,8,726095
"73","#satyagrahagainstexamsincovid",2020,8,700311
"74","#protestagainstexamsincovid",2020,8,540523
"75","#indiaunitedtopostponejeeneet",2020,8,475592
"76","#postponejeeandneet",2020,8,360832
"77","#postponeneetandjee",2020,8,329426
"78","#wearamask",2020,8,281629
"79","#lockdown",2020,8,254482
"80","#surakshabeforepariksha",2020,8,246596
"81","#wearamask",2020,9,368832
"82","#covidã<U+0083>¼19",2020,9,329534
"83","#trumpknew",2020,9,199095
"84","#stopprivatisationsavegovtjob",2020,9,124034
"85","#speakupforsscrailwaysstudends",2020,9,119044
"86","#bts",2020,9,103565
"87","#unga",2020,9,90127
"88","#parentsdemandpostponeneet",2020,9,81916
"89","#breaking",2020,9,74327
"90","#lockdown",2020,9,62183
"91","#endsars",2020,10,714602
"92","#trump",2020,10,373380
"93","#lockdown",2020,10,370103
"94","#wearamask",2020,10,324305
"95","#trumphascovid",2020,10,228283
"96","#covidã<U+0083>¼19",2020,10,182773
"97","#breaking",2020,10,142831
"98","#pandemic",2020,10,121123
"99","#endswat",2020,10,105701
"100","#vote",2020,10,100785
"101","#lockdown",2020,11,516211
"102","#covidã<U+0083>¼19",2020,11,347291
"103","#wearamask",2020,11,309040
"104","#bts",2020,11,185242
"105","#pandemic",2020,11,149994
"106","#vaccine",2020,11,133789
"107","#stayhome",2020,11,129021
"108","#pltpinkmonday",2020,11,114490
"109","#trump",2020,11,113245
"110","#breaking",2020,11,104453
"111","#lockdown",2020,12,305574
"112","#covidã<U+0083>¼19",2020,12,229290
"113","#vaccine",2020,12,184676
"114","#wearamask",2020,12,164134
"115","#pandemic",2020,12,127977
"116","#breaking",2020,12,114293
"117","#stayhome",2020,12,111537
"118","#covidvaccine",2020,12,85403
"119","#notimippci",2020,12,82780
"120","#envideo",2020,12,81500
"121","#lockdown",2021,1,445906
"122","#vaccine",2021,1,224725
"123","#covidã<U+0083>¼19",2021,1,185878
"124","#stayhome",2021,1,175874
"125","#notimippci",2021,1,146996
"126","#pandemic",2021,1,134565
"127","#wearamask",2021,1,122762
"128","#envideo",2021,1,111005
"129","#breaking",2021,1,99993
"130","#covidvaccine",2021,1,97865
"131","#lockdown",2021,2,310045
"132","#vaccine",2021,2,175885
"133","#covidã<U+0083>¼19",2021,2,157432
"134","#stayhome",2021,2,105160
"135","#pandemic",2021,2,96566
"136","#envideo",2021,2,93853
"137","#wearamask",2021,2,83010
"138","#b117",2021,2,68804
"139","#cuba",2021,2,65193
"140","#covid19mx",2021,2,62725
"141","#lockdown",2021,3,340877
"142","#vaccine",2021,3,172053
"143","#covidã<U+0083>¼19",2021,3,155031
"144","#notimippci",2021,3,144945
"145","#astrazeneca",2021,3,143202
"146","#activoscontraelvirus",2021,3,110354
"147","#pandemic",2021,3,104682
"148","#preveniresvencer",2021,3,100373
"149","#wearamask",2021,3,97937
"150","#covid19mx",2021,3,97829
