,Country,ratio,total,year,month
0,AD,-0.25,4.0,2020,8
1,AE,-0.048820179007323,1229.0,2020,8
2,AF,0.1363636363636363,44.0,2020,8
3,AG,-0.0659340659340659,91.0,2020,8
4,AI,0.1111111111111111,9.0,2020,8
5,AL,-0.125,48.0,2020,8
6,AM,0.0,16.0,2020,8
7,AO,-0.2857142857142857,21.0,2020,8
8,AQ,-0.3333333333333333,3.0,2020,8
9,AR,-0.0206422018348623,436.0,2020,8
10,AS,-0.4285714285714285,7.0,2020,8
11,AT,-0.0565371024734982,283.0,2020,8
12,AU,-0.2902340436149508,20039.0,2020,8
13,AW,0.0,30.0,2020,8
14,AZ,-0.2083333333333333,24.0,2020,8
15,BA,0.25,20.0,2020,8
16,BB,-0.1546391752577319,194.0,2020,8
17,BD,-0.1863799283154122,279.0,2020,8
18,BE,-0.220708446866485,734.0,2020,8
19,BF,0.0,6.0,2020,8
20,BG,-0.0869565217391304,46.0,2020,8
21,BH,-0.1111111111111111,126.0,2020,8
22,BI,-0.3333333333333333,12.0,2020,8
23,BJ,0.2,10.0,2020,8
24,BM,-0.1442307692307692,104.0,2020,8
25,BN,0.0714285714285714,42.0,2020,8
26,BO,0.0,28.0,2020,8
27,BQ,-0.5,2.0,2020,8
28,BR,-0.1783088235294117,1088.0,2020,8
29,BS,-0.2633228840125391,1276.0,2020,8
30,BT,0.0130718954248366,153.0,2020,8
31,BW,-0.1670907548770144,1179.0,2020,8
32,BY,-0.2857142857142857,14.0,2020,8
33,BZ,-0.3302752293577982,109.0,2020,8
34,CA,-0.2227190112686295,27510.0,2020,8
35,CD,-0.1142857142857142,70.0,2020,8
36,CF,0.0,4.0,2020,8
37,CG,0.25,4.0,2020,8
38,CH,-0.0748031496062992,508.0,2020,8
39,CI,0.375,16.0,2020,8
40,CL,-0.041860465116279,215.0,2020,8
41,CM,0.072463768115942,69.0,2020,8
42,CN,-0.1184573002754821,726.0,2020,8
43,CO,-0.1626666666666666,375.0,2020,8
44,CR,-0.3577981651376147,109.0,2020,8
45,CU,0.0714285714285714,28.0,2020,8
46,CV,-0.2,5.0,2020,8
47,CW,0.75,4.0,2020,8
48,CY,-0.2583333333333333,240.0,2020,8
49,CZ,-0.2923076923076923,195.0,2020,8
50,DE,-0.1527421834956432,1951.0,2020,8
51,DJ,-0.5,24.0,2020,8
52,DK,-0.278772378516624,391.0,2020,8
53,DM,0.0,19.0,2020,8
54,DO,-0.1031746031746031,126.0,2020,8
55,DZ,0.0588235294117647,34.0,2020,8
56,EC,-0.12,125.0,2020,8
57,EE,-0.3333333333333333,33.0,2020,8
58,EG,0.0,156.0,2020,8
59,ER,0.0,2.0,2020,8
60,ES,-0.1717436974789916,1904.0,2020,8
61,ET,0.0884353741496598,147.0,2020,8
62,FI,-0.0725190839694656,262.0,2020,8
63,FJ,0.0214285714285714,140.0,2020,8
64,FK,0.0,1.0,2020,8
65,FM,-0.4,5.0,2020,8
66,FO,-0.25,16.0,2020,8
67,FR,-0.1691133294186729,1703.0,2020,8
68,GA,0.5,4.0,2020,8
69,GB,-0.2162190794003919,75516.0,2020,8
70,GD,-0.2272727272727272,44.0,2020,8
71,GE,-0.2222222222222222,54.0,2020,8
72,GF,-0.3636363636363636,11.0,2020,8
73,GG,0.4,5.0,2020,8
74,GH,-0.0946579194001874,2134.0,2020,8
75,GI,-0.1794871794871795,78.0,2020,8
76,GL,1.0,1.0,2020,8
77,GM,-0.0569395017793594,281.0,2020,8
78,GN,-0.6,5.0,2020,8
79,GP,0.0,7.0,2020,8
80,GQ,0.5,2.0,2020,8
81,GR,-0.1761978361669242,647.0,2020,8
82,GT,-0.2195121951219512,82.0,2020,8
83,GU,-0.2727272727272727,99.0,2020,8
84,GW,0.6666666666666666,3.0,2020,8
85,GY,-0.2424242424242424,33.0,2020,8
86,HK,-0.1308411214953271,428.0,2020,8
87,HN,-0.1358024691358024,81.0,2020,8
88,HR,-0.0692307692307692,130.0,2020,8
89,HT,0.15,20.0,2020,8
90,HU,-0.0795454545454545,88.0,2020,8
91,ID,0.0324074074074074,1512.0,2020,8
92,IE,-0.2794483815361042,10442.0,2020,8
93,IL,-0.392578125,512.0,2020,8
94,IM,-0.202127659574468,94.0,2020,8
95,IN,-0.2370802546685688,46963.0,2020,8
96,IQ,-0.5897435897435898,234.0,2020,8
97,IR,-0.1267605633802817,71.0,2020,8
98,IS,0.0714285714285714,42.0,2020,8
99,IT,-0.1108711303095752,1389.0,2020,8
100,JE,0.5,10.0,2020,8
101,JM,-0.2460905349794238,2430.0,2020,8
102,JO,0.0,45.0,2020,8
103,JP,-0.1521972132904608,933.0,2020,8
104,KE,-0.2444567627494456,3608.0,2020,8
105,KG,-0.1111111111111111,18.0,2020,8
106,KH,0.0,73.0,2020,8
107,KI,-1.0,1.0,2020,8
108,KN,-0.1875,16.0,2020,8
109,KP,-1.0,1.0,2020,8
110,KR,-0.1295971978984238,571.0,2020,8
111,KW,0.0,182.0,2020,8
112,KY,-0.2345679012345679,81.0,2020,8
113,KZ,-0.1428571428571428,14.0,2020,8
114,LA,-0.3333333333333333,3.0,2020,8
115,LB,-0.2689486552567237,409.0,2020,8
116,LC,-0.2857142857142857,63.0,2020,8
117,LI,-0.5294117647058824,17.0,2020,8
118,LK,-0.1671388101983003,353.0,2020,8
119,LR,-0.0869565217391304,46.0,2020,8
120,LS,-0.1078431372549019,102.0,2020,8
121,LT,0.0285714285714285,35.0,2020,8
122,LU,-0.0625,48.0,2020,8
123,LV,-0.2692307692307692,78.0,2020,8
124,LY,-0.16,25.0,2020,8
125,MA,-0.16,75.0,2020,8
126,MC,0.0833333333333333,12.0,2020,8
127,MD,0.0384615384615384,26.0,2020,8
128,ME,0.2307692307692307,13.0,2020,8
129,MF,-0.5,2.0,2020,8
130,MG,-0.2,5.0,2020,8
131,MK,0.1111111111111111,27.0,2020,8
132,ML,0.25,4.0,2020,8
133,MM,-0.0333333333333333,60.0,2020,8
134,MN,-0.1,20.0,2020,8
135,MO,0.2222222222222222,9.0,2020,8
136,MP,-0.3333333333333333,21.0,2020,8
137,MQ,0.1666666666666666,12.0,2020,8
138,MR,0.25,4.0,2020,8
139,MS,0.0,1.0,2020,8
140,MT,-0.2537313432835821,134.0,2020,8
141,MU,-0.0526315789473684,38.0,2020,8
142,MV,-0.1524547803617571,387.0,2020,8
143,MW,-0.1333333333333333,270.0,2020,8
144,MX,-0.1705298013245033,1208.0,2020,8
